catch_terms,recode_column,country_name,country_domain,iso2,iso3,checked,notes
côte d'ivoire|côte divoire|cote divoire|cote d'ivoire|ivory coast|abidjan|yamoussoukro|bouaké|bouake|korhogo|daloa|san pédro|man|divo|gagnoa|soubré|soubre|abengourou|dabou|dimbokro|bondoukou|séguéla|seguela|odienné|odienne|bangolo|agboville|grand bassam|bouaflé|bouafle|guiglo|ferkessédougou|ferkessedougou|toumodi|sassandra|aboisso|touba,côte d'ivoire|côte divoire|cote divoire|cote d'ivoire|ivory coast|abidjan|yamoussoukro|bouaké|bouake|korhogo|daloa|san pédro|man|divo|gagnoa|soubré|soubre|abengourou|dabou|dimbokro|bondoukou|séguéla|seguela|odienné|odienne|bangolo|agboville|grand bassam|bouaflé|bouafle|guiglo|ferkessédougou|ferkessedougou|toumodi|sassandra|aboisso|touba,ivory coast,.ci,CI,CIV,,
jamaica|kingston|portmore|may pen|spanish town|montego bay|half way tree|mandeville|savanna-la-mar|port antonio|saint ann’s bay|saint ann's bay|port maria|falmouth|lucea|black river|morant bay|old harbour|linstead|port morant,jamaica|kingston|portmore|may pen|spanish town|montego bay|half way tree|mandeville|savanna-la-mar|port antonio|saint ann’s bay|saint ann's bay|port maria|falmouth|lucea|black river|morant bay|old harbour|linstead|port morant,jamaica,.jm,JM,JAM,,
japan|jp|tokyo|ōsaka|osaka|nagoya|yokohama|fukuoka|sapporo|kyōto|kyoto|kōbe|kobe|kawanakajima|saitama|hiroshima|sendai|kitaku|chiba|niigata|hamamatsu|kumamoto|sagamihara|okayama|edogawa|adachi|shizuoka|kagoshima|hachiōji|hachioji|utsunomiya|matsuyama|matsudo|higashi-ōsaka|higashi-osaka|nishinomiya-hama|ōita|oita|kanazawa|fukuyama|machida|toyota|takamatsu|toyama|nagasaki|gifu|miyazaki|okazaki|ichinomiya|toyohashi|nagano|wakayama|nara|koshigaya|tokorozawa|ōtsu|otsu|kawagoe|tamuramachi-moriyama|iwaki|maebashi|asahikawa|kōchi|kochi|naha|toshima|yokkaichi|kasugai|ōakashichō|oakashicho|akita|morioka|fukushima|tsu|aomori|minato|fuchū|fuchu|mito|ichihara|hiratsuka|fukui|sōka|soka|tokushima|shinozaki|hakodate|chōfugaoka|chofugaoka|chigasaki|yato|yamagata|tsukuba-kenkyūgakuen-toshi|tsukuba-kenkyugakuen-toshi|fuji|arakawa|hachimanchō|hachimancho|sato|neya|saga|ageoshimo|taitō|taito|minamiōzuma|minamiozuma|kure|kamirenjaku|yachiyo|matsue|ashino|higashi-hiroshima|hino|suzuka|naka|kumagaya|anjōmachi|anjomachi|tachikawa|kōfu|kofu|tottori|jōetsu|joetsu|izuo|narashino|ōbiraki|obiraki|takaoka|beppuchō|beppucho|hitachi|izumo|niiza|nishio|iwata|ube|higashimurayama|ōgaki|ogaki|matsuzaka|kariya|hitachi-naka|tama|tochigi|ueda|kukichūō|kukichuo|sayama|komaki|shimotoda|iruma|yonago|misato|kusatsu|kakamigahara|fukayachō|fukayacho|kokubunji|kuwana|koga|ishizaki|zama|kisarazu|yaizu|inazawa|ōme|ome|abiko|narita|onomichi|seto|kadoma|ōmiyachō|omiyacho|iizuka|honchō|honcho|daitōchō|daitocho|ise|kashiwara|tsuruoka|ebetsu|fujimino|kasuga|akishima|kōnosu|konosu|ikoma|nobeoka|beppu|shibuya|nasushiobara|kōenchō|koencho|niihama|sano|hatsukaichi|kamagaya|hōfu|hofu|hikone|otaru|higashiōmi|higashiomi|ōshū|oshu|habikino|tondabayashichō|tondabayashicho|shirayamamachi|sandachō|sandacho|mineshita|ikeda|tajimi|toride|inzai|ginowan|saijō|saijo|isehara|sakado|kōnan|konan|yashio|yotsukaidō|yotsukaido|nisshin|ōbu|obu|kitanagoya|higashiyamato|owariasahi|nagaoka|kunitachi|chiryū|chiryu|musashimurayama|hekinan|yoshikawa|tsurugashima|yawata-shimizui|toyoake|hatogaya-honchō|hatogaya-honcho|kitamoto|tomigusuku|tago|hasuda|mukōchō|mukocho|tsushima|fussa|koja|zushi|hamura|shiraoka|iwakura|takahama|suzukawa|inuma|katsuren-haebaru|nakama|miyoshidai|kanie|minamishiro|kaita|ninomiya|chatan|kasamatsuchō|kasamatsucho|kanmaki|yonabaru|kitagata|tadaoka-higashi|yamaguchi|kani|chikusei|sakata|saku|iida|kamisu|kanuma|azumino|higashi-matsuyama|hanamaki onsen|kitakami|imizuchō|imizucho|mihara|fukuroi|mobara|gotenba|kitakōriyamachō|kitakoriyamacho|ushiku|sekimachi|chita|moriyama|yokotemachi|nakatsu|ōmihachiman|omihachiman|muroran|kaneyama|kimitsu|akiruno|natori-shi|gyōda|gyoda|hannō|hanno|iwamizawa|mooka|maizuru|nikkō|nikko|ryūgasaki|ryugasaki|daisen|fukuchiyama|nakatsugawa|tatebayashi|tatsunochō-tominaga|tatsunocho-tominaga|yurihonjō|yurihonjo|kasama|shibukawa|ōtawara|otawara|ishioka|rittō|ritto|uwajima|kashima|hashima|yachimata|saiki|ina|asahi|kurihara|shiroi|nago|tendō|tendo|itoman|aisai|shimotsuke|jōsō|joso|tahara|chichibu|tokoname|ishikari|kosai|tōgane|togane|minokamo|kudamatsu|nōgata|nogata|hidaka|toki|chino|funato|sakurai|annaka|tomiya|minami-sōma|minami-soma|bandō|bando|tsukubamirai|arao|satte|sakaidechō|sakaidecho|yūki|yuki|yasu|miyoshi|nichinan|suzaka|tomisato|tōkamachi|tokamachi|hikari|nomimachi|omitama|suwa|ami|sanmu|ishigaki|shimotsuchō-kominami|shimotsucho-kominami|ena|tonami|higashine|hitachi-ota|tomioka|noboribetsu|nakai|shimeo|tamagawa|kurayoshi|kasaoka|takashima|hokota|shima|hokuto|sugito|taketoyo|masuda|hagi|otofuke|himi|taniyama-chūō|taniyama-chuo|shinshiro|makinohara|kobayashi|obita|futtsu|shimotsuma|nanbei|yuzawa|kitaibaraki|komono|ōzu|ozu|itoigawa|kasumigaura|kurobeshin|mibu|takikawa|higashimatsushima|ōmagari|omagari|inashiki|umi|hitachiomiya|sakuragawa|gujō|gujo|ibara|katsuragi|kannan|tsubata|komatsushimachō|komatsushimacho|kanada|morohongō|morohongo|rifu|miyajima|usuki|minami-bōsō|minami-boso|kahoku|kamata|iyo|shingū|shingu|abashiri|uonuma|sakaiminato|shōbara|shobara|shimotoba|kamaishi|mashiki|wakabadai|ōiso|oiso|kuji|yorii|tawaramoto|zentsujichó|zentsujicho|shimizuchō|shimizucho|nagato|ōdachō-ōda|odacho-oda|namegata|komagane|sasaguri|katagami|kuroishi|ayabe|yawatahama-shi|kaminokawa|yaita|masaki|motomiya|hirakawachō|hirakawacho|togitsu|tsuruno|matsubushi|sue|hanawa|ogawa|oyabe|aioi|izu|hiji|obama|tainai|kakuda|ōuda-yamaguchi|ouda-yamaguchi|itako|gojō|gojo|niimi|tarui|miyanaga|ōmachi|omachi|kunisakimachi-tsurugawa|ishii|kamo|tōno|tono|sakai|oga|nasukarasuyama|wajimazakimachi|nyūzen|nyuzen|hachimantai|nakashunbetsu|uenohara|takahata|murayama|honmachi|fukuyoshi|mashiko|shisui|ino|shimogamo|bibai|tobe|takanabe|rumoi|hakui|shirahama|kitatajima|karuizawa|gōdo|godo|kamiichi|iiyama|mukaiengaru|shimomura|motomachi|miyatoko|tatsuno|yoichi|memuro-minami|oyama|kishi|rikuzen-takata|mitake|kadogawa|mori|yabuki|katsuura|kushima|sunagawa|miyazu|mifune|shiraoi|ōarai|oarai|nagasu|tsukumiura|kumano|kasagi|tōbetsu|tobetsu|shizukuishi|sayō|sayo|kawasaki|daigo|kanegasaki|wakuya|kawaminami|uchiko|nakanojōmachi|nakanojomachi|kutchan|fujisaki|betsukai|tabuse|obanazawa|kushimoto|nishinoomote|ashiya|yamada|furukawamen|tsukawaki|kawaii|shichinohe|hayashima|sakaki|kadena|kakunodatemachi|kisanuki|taishi|tako|kamigōri|kamigori|yamanobe|chiran|wake|saka|matsushima|yakage|tanagura|tonoshō|tonosho|itayanagi|yuza|ashibetsu|kasaishi|nobeji|tsuruta|marumori|sakawa|ōsako|osako|hirao|motegi|mitai|yuasa|kin|kuriyama|ichinohe|ogose|hikawadai|miyato|onna|obuse|hakone|matsuda-sōryō|matsuda-soryo|ogano|ōtsuchi|otsuchi|iwai|nakayama|murata|naganuma|kamifurano|minobu|kushijima|kawara|yaotsu|iwashita|tsunō|tsuno|kami-kawabe|hiranai|biei|nakao|akabira|kawanishichō|kawanishicho|yamakita|nakoushi|minano|shimizu|hirayama|fujisawachō-niinuma|fujisawacho-niinuma|nagaoki|iijima|taragi|soeda|ōtaki|otaki|miyada|hakubachō|hakubacho|nishiōwa|nishiowa|takaharu|iwaizumi|ōwani|owani|ikata-chō|ikata-cho|karumai|mikasa|tara|yahiko|ide|manazuru|inakadate|abira|kotake|nakata|inami|shiranuka|chōnan|chonan|yūbari|yubari|shibecha|esashi|taga|hiraizumi|fukaura|onishi|nambu|shibayama|shinmachi|ogunimachi|teshikaga|aya|nagatoro|sekigahara|nagaya|kamihonbetsu|ashoro|shikama|nishiharadai|isen|hiroo|waki|ōishida|oishida|higashikyōshin|higashikyoshin|tōma|toma|wadomari|shimonita|chizu|izumizaki|asakawa|yoshinoyama|ginoza|shihoro|matsuzaki|kōzaki|kozaki|shintoku|ōhira|ohira|tatsugō|tatsugo|china|takamori|onagawa|hamanaka-sakuraminami|amagi|hachirougata|kuzumaki|taiki|takae|naie|yamanaka|ochi|shibetsu|oshamambe|naganohara|imagane,japan|(?<![a-z])jp(?![a-z])|japan|jp|tokyo|ōsaka|osaka|nagoya|yokohama|fukuoka|sapporo|kyōto|kyoto|kōbe|kobe|kawanakajima|saitama|hiroshima|sendai|kitaku|chiba|niigata|hamamatsu|kumamoto|sagamihara|okayama|edogawa|adachi|shizuoka|kagoshima|hachiōji|hachioji|utsunomiya|matsuyama|matsudo|higashi-ōsaka|higashi-osaka|nishinomiya-hama|ōita|oita|kanazawa|fukuyama|machida|toyota|takamatsu|toyama|nagasaki|gifu|miyazaki|okazaki|ichinomiya|toyohashi|nagano|wakayama|nara|koshigaya|tokorozawa|ōtsu|otsu|kawagoe|tamuramachi-moriyama|iwaki|maebashi|asahikawa|kōchi|kochi|naha|toshima|yokkaichi|kasugai|ōakashichō|oakashicho|akita|morioka|fukushima|tsu|aomori|minato|fuchū|fuchu|mito|ichihara|hiratsuka|fukui|sōka|soka|tokushima|shinozaki|hakodate|chōfugaoka|chofugaoka|chigasaki|yato|yamagata|tsukuba-kenkyūgakuen-toshi|tsukuba-kenkyugakuen-toshi|fuji|arakawa|hachimanchō|hachimancho|sato|neya|saga|ageoshimo|taitō|taito|minamiōzuma|minamiozuma|kure|kamirenjaku|yachiyo|matsue|ashino|higashi-hiroshima|hino|suzuka|naka|kumagaya|anjōmachi|anjomachi|tachikawa|kōfu|kofu|tottori|jōetsu|joetsu|izuo|narashino|ōbiraki|obiraki|takaoka|beppuchō|beppucho|hitachi|izumo|niiza|nishio|iwata|ube|higashimurayama|ōgaki|ogaki|matsuzaka|kariya|hitachi-naka|tama|tochigi|ueda|kukichūō|kukichuo|sayama|komaki|shimotoda|iruma|yonago|misato|kusatsu|kakamigahara|fukayachō|fukayacho|kokubunji|kuwana|koga|ishizaki|zama|kisarazu|yaizu|inazawa|ōme|ome|abiko|narita|onomichi|seto|kadoma|ōmiyachō|omiyacho|iizuka|honchō|honcho|daitōchō|daitocho|ise|kashiwara|tsuruoka|ebetsu|fujimino|kasuga|akishima|kōnosu|konosu|ikoma|nobeoka|beppu|shibuya|nasushiobara|kōenchō|koencho|niihama|sano|hatsukaichi|kamagaya|hōfu|hofu|hikone|otaru|higashiōmi|higashiomi|ōshū|oshu|habikino|tondabayashichō|tondabayashicho|shirayamamachi|sandachō|sandacho|mineshita|ikeda|tajimi|toride|inzai|ginowan|saijō|saijo|isehara|sakado|kōnan|konan|yashio|yotsukaidō|yotsukaido|nisshin|ōbu|obu|kitanagoya|higashiyamato|owariasahi|nagaoka|kunitachi|chiryū|chiryu|musashimurayama|hekinan|yoshikawa|tsurugashima|yawata-shimizui|toyoake|hatogaya-honchō|hatogaya-honcho|kitamoto|tomigusuku|tago|hasuda|mukōchō|mukocho|tsushima|fussa|koja|zushi|hamura|shiraoka|iwakura|takahama|suzukawa|inuma|katsuren-haebaru|nakama|miyoshidai|kanie|minamishiro|kaita|ninomiya|chatan|kasamatsuchō|kasamatsucho|kanmaki|yonabaru|kitagata|tadaoka-higashi|yamaguchi|kani|chikusei|sakata|saku|iida|kamisu|kanuma|azumino|higashi-matsuyama|hanamaki onsen|kitakami|imizuchō|imizucho|mihara|fukuroi|mobara|gotenba|kitakōriyamachō|kitakoriyamacho|ushiku|sekimachi|chita|moriyama|yokotemachi|nakatsu|ōmihachiman|omihachiman|muroran|kaneyama|kimitsu|akiruno|natori-shi|gyōda|gyoda|hannō|hanno|iwamizawa|mooka|maizuru|nikkō|nikko|ryūgasaki|ryugasaki|daisen|fukuchiyama|nakatsugawa|tatebayashi|tatsunochō-tominaga|tatsunocho-tominaga|yurihonjō|yurihonjo|kasama|shibukawa|ōtawara|otawara|ishioka|rittō|ritto|uwajima|kashima|hashima|yachimata|saiki|ina|asahi|kurihara|shiroi|nago|tendō|tendo|itoman|aisai|shimotsuke|jōsō|joso|tahara|chichibu|tokoname|ishikari|kosai|tōgane|togane|minokamo|kudamatsu|nōgata|nogata|hidaka|toki|chino|funato|sakurai|annaka|tomiya|minami-sōma|minami-soma|bandō|bando|tsukubamirai|arao|satte|sakaidechō|sakaidecho|yūki|yuki|yasu|miyoshi|nichinan|suzaka|tomisato|tōkamachi|tokamachi|hikari|nomimachi|omitama|suwa|ami|sanmu|ishigaki|shimotsuchō-kominami|shimotsucho-kominami|ena|tonami|higashine|hitachi-ota|tomioka|noboribetsu|nakai|shimeo|tamagawa|kurayoshi|kasaoka|takashima|hokota|shima|hokuto|sugito|taketoyo|masuda|hagi|otofuke|himi|taniyama-chūō|taniyama-chuo|shinshiro|makinohara|kobayashi|obita|futtsu|shimotsuma|nanbei|yuzawa|kitaibaraki|komono|ōzu|ozu|itoigawa|kasumigaura|kurobeshin|mibu|takikawa|higashimatsushima|ōmagari|omagari|inashiki|umi|hitachiomiya|sakuragawa|gujō|gujo|ibara|katsuragi|kannan|tsubata|komatsushimachō|komatsushimacho|kanada|morohongō|morohongo|rifu|miyajima|usuki|minami-bōsō|minami-boso|kahoku|kamata|iyo|shingū|shingu|abashiri|uonuma|sakaiminato|shōbara|shobara|shimotoba|kamaishi|mashiki|wakabadai|ōiso|oiso|kuji|yorii|tawaramoto|zentsujichó|zentsujicho|shimizuchō|shimizucho|nagato|ōdachō-ōda|odacho-oda|namegata|komagane|sasaguri|katagami|kuroishi|ayabe|yawatahama-shi|kaminokawa|yaita|masaki|motomiya|hirakawachō|hirakawacho|togitsu|tsuruno|matsubushi|sue|hanawa|ogawa|oyabe|aioi|izu|hiji|obama|tainai|kakuda|ōuda-yamaguchi|ouda-yamaguchi|itako|gojō|gojo|niimi|tarui|miyanaga|ōmachi|omachi|kunisakimachi-tsurugawa|ishii|kamo|tōno|tono|sakai|oga|nasukarasuyama|wajimazakimachi|nyūzen|nyuzen|hachimantai|nakashunbetsu|uenohara|takahata|murayama|honmachi|fukuyoshi|mashiko|shisui|ino|shimogamo|bibai|tobe|takanabe|rumoi|hakui|shirahama|kitatajima|karuizawa|gōdo|godo|kamiichi|iiyama|mukaiengaru|shimomura|motomachi|miyatoko|tatsuno|yoichi|memuro-minami|oyama|kishi|rikuzen-takata|mitake|kadogawa|mori|yabuki|katsuura|kushima|sunagawa|miyazu|mifune|shiraoi|ōarai|oarai|nagasu|tsukumiura|kumano|kasagi|tōbetsu|tobetsu|shizukuishi|sayō|sayo|kawasaki|daigo|kanegasaki|wakuya|kawaminami|uchiko|nakanojōmachi|nakanojomachi|kutchan|fujisaki|betsukai|tabuse|obanazawa|kushimoto|nishinoomote|ashiya|yamada|furukawamen|tsukawaki|kawaii|shichinohe|hayashima|sakaki|kadena|kakunodatemachi|kisanuki|taishi|tako|kamigōri|kamigori|yamanobe|chiran|wake|saka|matsushima|yakage|tanagura|tonoshō|tonosho|itayanagi|yuza|ashibetsu|kasaishi|nobeji|tsuruta|marumori|sakawa|ōsako|osako|hirao|motegi|mitai|yuasa|kin|kuriyama|ichinohe|ogose|hikawadai|miyato|onna|obuse|hakone|matsuda-sōryō|matsuda-soryo|ogano|ōtsuchi|otsuchi|iwai|nakayama|murata|naganuma|kamifurano|minobu|kushijima|kawara|yaotsu|iwashita|tsunō|tsuno|kami-kawabe|hiranai|biei|nakao|akabira|kawanishichō|kawanishicho|yamakita|nakoushi|minano|shimizu|hirayama|fujisawachō-niinuma|fujisawacho-niinuma|nagaoki|iijima|taragi|soeda|ōtaki|otaki|miyada|hakubachō|hakubacho|nishiōwa|nishiowa|takaharu|iwaizumi|ōwani|owani|ikata-chō|ikata-cho|karumai|mikasa|tara|yahiko|ide|manazuru|inakadate|abira|kotake|nakata|inami|shiranuka|chōnan|chonan|yūbari|yubari|shibecha|esashi|taga|hiraizumi|fukaura|onishi|nambu|shibayama|shinmachi|ogunimachi|teshikaga|aya|nagatoro|sekigahara|nagaya|kamihonbetsu|ashoro|shikama|nishiharadai|isen|hiroo|waki|ōishida|oishida|higashikyōshin|higashikyoshin|tōma|toma|wadomari|shimonita|chizu|izumizaki|asakawa|yoshinoyama|ginoza|shihoro|matsuzaki|kōzaki|kozaki|shintoku|ōhira|ohira|tatsugō|tatsugo|china|takamori|onagawa|hamanaka-sakuraminami|amagi|hachirougata|kuzumaki|taiki|takae|naie|yamanaka|ochi|shibetsu|oshamambe|naganohara|imagane,japan,.jp,JP,JPN,,
jersey|saint helier,(?<![a-z])jersey(?![a-z])|saint helier,jersey,.je,JE,JEY,,
jordan|amman|irbid|az zarqā’|az zarqa'|al ‘aqabah|al `aqabah|as salţ|as salt|al mafraq|jarash|ma‘ān|ma`an|aţ ţafīlah|at tafilah|al karak|mādabā|madaba|‘ajlūn|`ajlun|aţ ţurrah|at turrah|sākib|sakib,jordan|amman|irbid|az zarqā’|az zarqa'|al ‘aqabah|al `aqabah|as salţ|as salt|al mafraq|jarash|ma‘ān|ma`an|aţ ţafīlah|at tafilah|al karak|mādabā|madaba|‘ajlūn|`ajlun|aţ ţurrah|at turrah|sākib|sakib,jordan,.jo,JO,JOR,,
kazakhstan|almaty|nur-sultan|shymkent|qaraghandy|taraz|aqtöbe|aqtobe|pavlodar|semey|öskemen|oskemen|oral|türkistan|turkistan|qostanay|petropavl|qyzylorda|temirtaū|temirtau|aqtaū|aqtau|atyraū|atyrau|ekibastuz|mangghystaū|mangghystau|kökshetaū|kokshetau|taldyqorghan|rudnyy|zhezqazghan|kentaū|kentau|balqash|sarqan|aqsū|aqsu|sätbayev|satbayev|kapchagay|qaskeleng|ridder|zyryanovsk|talghar|shchūchīnsk|shchuchinsk|zharkent|shū|shu|qapshaghay|soran|ayagöz|ayagoz|arys|baikonur|shakhtīnsk|shakhtinsk|qulsary|esik|zhetisay|aksay|zhitiqara|staryy beyneu|balyqshy|tekeli|aral|shiyeli|atbasar|qarataū|qaratau|alga|oktyabrsk|arqalyq|shalqar|ereymentaū|ereymentau|khromtaū|khromtau|lengir|makīnsk|makinsk|oytal|qarazhal|boralday|üshtöbe|ushtobe|zhosaly|atasū|atasu|töle bī|tole bi|shemonaīkha|shemonaikha|emba|zaysan|derzhavīnsk|derzhavinsk|uryzhar|maqat|qazyqurt|shamalgan|eski īkan|eski ikan|qulan|taiynsha|novoīshīmskīy|novoishimskiy|esil|otar|lūgovoy|lugovoy|makhambet|būlaevo|bulaevo|zhänibek|zhanibek|ertis|sergeevka|mezhdūrechenskoye|mezhdurechenskoye|kishkeneköl|kishkenekol|astrakhan|qarabalyq|aqadyr|saūmalköl|saumalkol|sholaqqorghan|shar|qashyr|zhangaözen|zhangaozen|qarqaraly|qusmuryn|bayghanīn|bayghanin|osakarovka|bestöbe|bestobe|tobyl|zholymbet|qazaly|chapaev|presnovka|pavlodarskoe|torghay|fort-shevchenko|saryshaghan|shongzhy|serebryansk|zhaltyr|sharbaqty|burubaytal,kazakhstan|almaty|nur-sultan|shymkent|qaraghandy|taraz|aqtöbe|aqtobe|pavlodar|semey|öskemen|oskemen|oral|türkistan|turkistan|qostanay|petropavl|qyzylorda|temirtaū|temirtau|aqtaū|aqtau|atyraū|atyrau|ekibastuz|mangghystaū|mangghystau|kökshetaū|kokshetau|taldyqorghan|rudnyy|zhezqazghan|kentaū|kentau|balqash|sarqan|aqsū|aqsu|sätbayev|satbayev|kapchagay|qaskeleng|ridder|zyryanovsk|talghar|shchūchīnsk|shchuchinsk|zharkent|shū|shu|qapshaghay|soran|ayagöz|ayagoz|arys|baikonur|shakhtīnsk|shakhtinsk|qulsary|esik|zhetisay|aksay|zhitiqara|staryy beyneu|balyqshy|tekeli|aral|shiyeli|atbasar|qarataū|qaratau|alga|oktyabrsk|arqalyq|shalqar|ereymentaū|ereymentau|khromtaū|khromtau|lengir|makīnsk|makinsk|oytal|qarazhal|boralday|üshtöbe|ushtobe|zhosaly|atasū|atasu|töle bī|tole bi|shemonaīkha|shemonaikha|emba|zaysan|derzhavīnsk|derzhavinsk|uryzhar|maqat|qazyqurt|shamalgan|eski īkan|eski ikan|qulan|taiynsha|novoīshīmskīy|novoishimskiy|esil|otar|lūgovoy|lugovoy|makhambet|būlaevo|bulaevo|zhänibek|zhanibek|ertis|sergeevka|mezhdūrechenskoye|mezhdurechenskoye|kishkeneköl|kishkenekol|astrakhan|qarabalyq|aqadyr|saūmalköl|saumalkol|sholaqqorghan|shar|qashyr|zhangaözen|zhangaozen|qarqaraly|qusmuryn|bayghanīn|bayghanin|osakarovka|bestöbe|bestobe|tobyl|zholymbet|qazaly|chapaev|presnovka|pavlodarskoe|torghay|fort-shevchenko|saryshaghan|shongzhy|serebryansk|zhaltyr|sharbaqty|burubaytal,kazakhstan,.kz,KZ,KAZ,,
kenya|nairobi|meru|mombasa|kisumu|nakuru|eldoret|kisii|machakos|thika|nyeri|mumias|malindi|kakamega|lodwar|garissa|kitale|bungoma|wajir|isiolo|embu|homa bay|busia|kericho|mandera|kitui|moyale|lamu|maralal|eldama ravine|kapsabet|marsabit|hola|kiambu|kabarnet|migori|kerugoya|iten|nyamira|murang’a|sotik post|siaya|kapenguria|wote|mwatate|kajiado|ol kalou|narok|kwale|rumuruti|kendu bay|athi river|kilifi|sotik|voi|nanyuki|naivasha|namanga|mwingi|dadaab|karungu|witu|konza|tsavo,kenya|nairobi|meru|mombasa|kisumu|nakuru|eldoret|kisii|machakos|thika|nyeri|mumias|malindi|kakamega|lodwar|garissa|kitale|bungoma|wajir|isiolo|embu|homa bay|busia|kericho|mandera|kitui|moyale|lamu|maralal|eldama ravine|kapsabet|marsabit|hola|kiambu|kabarnet|migori|kerugoya|iten|nyamira|murang’a|sotik post|siaya|kapenguria|wote|mwatate|kajiado|ol kalou|narok|kwale|rumuruti|kendu bay|athi river|kilifi|sotik|voi|nanyuki|naivasha|namanga|mwingi|dadaab|karungu|witu|konza|tsavo,kenya,.ke,KE,KEN,,
kiribati|tarawa|teaoraereke,kiribati|tarawa|teaoraereke,kiribati,.ki,KI,KIR,,
kosovo|kosova|prishtina|prishtine|pristina|prishtinë|priština|pristina|prizren|ferizaj|pejë|peje|gjakovë|gjakove|gjilan|podujevë|podujeve|mitrovicë|mitrovice|vushtrri|suharekë|suhareke|lipjan|rahovec|malishevë|malisheve|skenderaj|viti|deçan|decan|istog|klinë|kline|kamenicë|kamenice|dragash|fushë kosovë|fushe kosove|kaçanik|kacanik|shtime|obiliq|leposaviq|zveçan|zvecan|zubin potok|shtërpcë|shterpce|graçanicë|gracanice|novobërdë|novoberde|hani i elezit|junik|ranillug|mamushë|mamushe|partesh|kllokot|gllogovc|kojskë|kojske|vranjak|matiçan|matican|pozharan|dushanovë|dushanove|donje žabare|donje zabare|lubizhdë|lubizhde|zhur|bresje|korishë|korishe|vitomiricë|vitomirice|damjan,kosovo|kosova|prishtina|prishtine|pristina|prishtinë|priština|pristina|prizren|ferizaj|pejë|peje|gjakovë|gjakove|gjilan|podujevë|podujeve|mitrovicë|mitrovice|vushtrri|suharekë|suhareke|lipjan|rahovec|malishevë|malisheve|skenderaj|viti|deçan|decan|istog|klinë|kline|kamenicë|kamenice|dragash|fushë kosovë|fushe kosove|kaçanik|kacanik|shtime|obiliq|leposaviq|zveçan|zvecan|zubin potok|shtërpcë|shterpce|graçanicë|gracanice|novobërdë|novoberde|hani i elezit|junik|ranillug|mamushë|mamushe|partesh|kllokot|gllogovc|kojskë|kojske|vranjak|matiçan|matican|pozharan|dushanovë|dushanove|donje žabare|donje zabare|lubizhdë|lubizhde|zhur|bresje|korishë|korishe|vitomiricë|vitomirice|damjan,kosovo,.xk,XK,XKS,,
kuwait|kuwait city|al jahrā’|al jahra'|abū ḩulayfah|abu hulayfah|al aḩmadī|al ahmadi|al wafrah,kuwait|kuwait city|al jahrā’|al jahra'|abū ḩulayfah|abu hulayfah|al aḩmadī|al ahmadi|al wafrah,kuwait,.kw,KW,KWT,,
kyrgyzstan|bishkek|osh|jalal-abad|karakol|talas|naryn|batken|kara-balta|tokmok|özgön|ozgon|balykchy|kyzyl-kyya|toktogul|kant|kara-suu|belovodskoe|jangy-nookat|lebedinovka|mayluu-suu|tash-kömür|tash-komur|kara-köl|kara-kol|novopavlovka|isfana|at-bashy|kochkor-ata|kök-janggak|kok-janggak|kerben|sülüktü|suluktu|alamedin|cholpon-ata|aydarken|shopokov|bosteri|chaek|klyuchevka|grigor'evka|tash-döbö|tash-dobo,kyrgyzstan|bishkek|osh|jalal-abad|karakol|talas|naryn|batken|kara-balta|tokmok|özgön|ozgon|balykchy|kyzyl-kyya|toktogul|kant|kara-suu|belovodskoe|jangy-nookat|lebedinovka|mayluu-suu|tash-kömür|tash-komur|kara-köl|kara-kol|novopavlovka|isfana|at-bashy|kochkor-ata|kök-janggak|kok-janggak|kerben|sülüktü|suluktu|alamedin|cholpon-ata|aydarken|shopokov|bosteri|chaek|klyuchevka|grigor'evka|tash-döbö|tash-dobo,kyrgyzstan,.kg,KG,KGZ,,
laos|lao|vientiane|savannakhet|pakxé|pakxe|thakhèk|thakhek|louangphabang|xam nua|attapu|ban houayxay|xaignabouli|phôngsali|phongsali|salavan|louang namtha|phôn-hông|phon-hong|phônsavan|phonsavan|pakxan|xai|xékong|xekong|anouvông|anouvong|champasak|xiangkhoang,laos|lao|vientiane|savannakhet|pakxé|pakxe|thakhèk|thakhek|louangphabang|xam nua|attapu|ban houayxay|xaignabouli|phôngsali|phongsali|salavan|louang namtha|phôn-hông|phon-hong|phônsavan|phonsavan|pakxan|xai|xékong|xekong|anouvông|anouvong|champasak|xiangkhoang,laos,.la,LA,LAO,,
